CATEGORIA_FINAL,CAT_ID
GERENCIA EN SALUD,CAT-0146
GERENCIA ESTRATEGICA,CAT-0147
GERENCIA FINANCIERA,CAT-0148
GERENCIA SECTORIAL,CAT-0149
GERENCIA SOCIAL,CAT-0150
GERENCIA Y CONTROL,CAT-0151
GERIATRIA Y GERONTOLOGIA,CAT-0152
GESTION AMBIENTAL,CAT-0153
GESTION CURRICULAR,CAT-0154
GESTION DE EMPRESAS,CAT-0155
GESTION DE ENTIDADES TERRITORIALES,CAT-0156
GESTION DE LA CALIDAD,CAT-0157
GESTION DE LA INNOVACION,CAT-0158
GESTION DE MANTENIMIENTO INDUSTRIAL,CAT-0159
GESTION DE RIESGO FINANCIERO Y SEGUROS,CAT-0160
GESTION DE TECNOLOGIAS DE INFORMACION,CAT-0161
GESTION DEL RIESGO DE EMERGENCIAS Y DESASTRES,CAT-0162
GESTION EDUCATIVA,CAT-0163
GESTION FINANCIERA,CAT-0164
GESTION INMOBILIARIA,CAT-0165
GESTION TERRITORIAL,CAT-0166
GESTION TRIBUTARIA Y FISCAL,CAT-0167
GESTION Y EFICIENCIA ENERGETICA,CAT-0168
GINECOLOGIA Y OBSTETRICIA,CAT-0169
GOBIERNO,CAT-0170
GÉNERO,CAT-0171
HEMATOLOGIA,CAT-0172
HISTORIA,CAT-0173
INFECTOLOGIA,CAT-0174
INGENIERIA AEROESPACIAL Y AERONAUTICA,CAT-0175
INGENIERIA AMBIENTAL,CAT-0176
INGENIERIA BIOMEDICA,CAT-0177
INGENIERIA CIVIL,CAT-0178
INGENIERIA DE MATERIALES Y METALURGIA,CAT-0179
INGENIERIA DE PETROLEO Y GAS,CAT-0180
INGENIERIA DE SISTEMAS Y SOFTWARE,CAT-0181
INGENIERIA DE SOFTWARE,CAT-0182
INGENIERIA DE TELECOMUNICACIONES,CAT-0183
INGENIERIA ELECTRONICA Y ELECTRICA,CAT-0184
INGENIERIA INDUSTRIAL,CAT-0185
INGENIERIA MECANICA E INDUSTRIAL,CAT-0186
INGENIERIA MINERA Y DEL CARBON,CAT-0187
INGENIERIA NAVAL Y OCEANICA,CAT-0188
INGENIERIA QUIMICA Y PROCESOS,CAT-0189
INGENIERIAS (GENERAL),CAT-0190
INGENIERÍA DE PRODUCCIÓN Y PROCESOS,CAT-0191
INMUNOLOGIA,CAT-0192
INNOVACION Y DESARROLLO TECNOLOGICO,CAT-0193
INTELIGENCIA ARTIFICIAL,CAT-0194
INTELIGENCIA DE NEGOCIOS,CAT-0195
INTERVENTORIA Y SUPERVISION,CAT-0196
INVESTIGACION CRIMINAL,CAT-0197
INVESTIGACION E INTERVENCION SOCIAL,CAT-0198
LIDERAZGO,CAT-0199
LINGUISTICA Y LITERATURA,CAT-0200
LITERATURA Y ESCRITURA CREATIVA,CAT-0201
LOGISTICA Y OPERACIONES,CAT-0202
MACHINE LEARNING,CAT-0203
MATEMATICAS,CAT-0204
MEDICINA,CAT-0205
MEDICINA CRITICA Y CUIDADO INTENSIVO,CAT-0206
MEDICINA DE URGENCIAS,CAT-0207
MEDICINA DEL DEPORTE,CAT-0208
MEDICINA DEL DOLOR Y CUIDADOS PALIATIVOS,CAT-0209
MEDICINA FAMILIAR,CAT-0210
MEDICINA INTERNA,CAT-0211
MEDICINA NUCLEAR,CAT-0212
MEDIO AMBIENTE Y SOSTENIBILIDAD,CAT-0213
MERCADEO,CAT-0214
MERCADEO DIGITAL,CAT-0215
MERCADEO Y PUBLICIDAD,CAT-0216
MERCADO DE CAPITALES,CAT-0217
MICROBIOLOGIA,CAT-0218
MODELADO Y SIMULACION,CAT-0219
MULTIMEDIA,CAT-0220
MUSICA,CAT-0221
NEFROLOGIA,CAT-0222
NEGOCIOS DIGITALES,CAT-0223
NEGOCIOS INTERNACIONALES,CAT-0224
NEGOCIOS Y COMERCIO ELECTRONICO,CAT-0225
NEONATOLOGIA,CAT-0226
NEUMOLOGIA,CAT-0227
NEUROLOGIA,CAT-0228
NUTRICION,CAT-0229
NUTRICION ANIMAL,CAT-0230
ODONTOLOGIA,CAT-0231
ODONTOPEDIATRIA,CAT-0232
OFTALMOLOGIA,CAT-0233
ONCOLOGIA,CAT-0234
ORTOPEDIA Y TRAUMATOLOGIA,CAT-0235
